name,comment,terminationCondition,duration,deltaDuration,parameter.arka.speed,parameter.arka.sequencerType,parameter.arka.sequencerParams,parameter.putzini.move,parameter.putzini.height,parameter.putzini.head,parameter.putzini.audio,parameter.putzini.lamp,parameter.putzini.vacuum,parameter.player.play,parameter.player.stop,overallLight,parameter.beamer
"Phase II, step 35",Halten,Duration,3.0,,,,,,,,,"{""front"":{""r"":100,""g"":100, ""b"":100, ""w"":100},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blinkOnce"",""freq"":10}",,,,,"{""Clear"": """"}"
"Phase II, step 36",Freude XYZ ,Duration,10.0,,,,,"turnForever(7200,100)",,250.0,,"{""front"":{""r"":50,""g"":50, ""b"":50, ""w"":0},""back"":{""r"":250, ""g"":150, ""b"":50},""effect"":""round"",""freq"":5}",,,,LICHTWECHSEL: PINK und Konfetti,"{""Chapter"": ""#AFTERMIDNIGHTDANCING""}"
"Phase II, step 37",,Duration,1.0,,,,,,,,,,,,,,
"Phase II, step 39",Random move zu Song/Musik anschuen,Duration,10.0,,15.0,RandomMove,,,,,,"{""front"":{""l"":125,""s"":125},""back"":{""l"":125,""s"":125},""effect"":""random"", ""freq"":5}",,"{""file"": ""speech/957ae7284fcb91ed2070ab0a1207cfef.wav""}",,,"{""Regie"": ""Sie tanzen wie nur Roboter tanzen können.""}"
"Phase II, step 39",Text,Duration,4.0,,,,,,,,,,,"{""file"": ""speech/2db5847777f4efee7be2bafc1314a4ae.wav""}",,,"{""Regie"": ""So wie Kleist es sich gewünscht hätte:""}"
"Phase II, step 39",Text,Duration,10.0,,,,,,,,,,,"{""file"": ""speech/d3ca9e24723c9a8928c960f0db3e1a73.wav""}",,,"{""Regie"": ""Als Marionetten mit unendlichem und überzeitlichem Bewusstsein, das sich selber ausblenden und vergessen kann und darin zur wahren Schönheit findet.""}"
"Phase II, step 39",Text,Duration,10.0,,,,,,,,,,,"{""file"": ""speech/76983594b95594cdf9148c467cbf62fa.wav""}",,,"{""Regie"": ""Aber sie tanzen als Liebende, das heißt als solche, die sich bald verlieren und daran zugrunde gehen werden.""}"
"Phase II, step 41",Text,WaitForArka,,,20.0,GetColor3Quick,,"lookAtPos(0,0,70)",,,Stop,,,,,,"{""Putzini"": ""Vielleicht könnten wir unseren Hertzschlag synchronisieren?""}"
"Phase II, step 42",Text DrawHeart,WaitForArka,,,20.0,DrawHeart1,,"moveBackForth(20,15,70,1,-250,350,-220,220)",,220.0,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_8.wav"", ""loop"":1, ""vol"": 90}",,,,,,"{""Putzini"": ""Unsere Festplatten löschen und gemeinsam neu gestalten?""}"
"Phase II, step 42",,WaitForArka,,,20.0,GetColor3Quick,,"lookAtPos(500,100,90)",,,Stop,,,,,,"{""Arka"": ""Ich fühle mich heute ganz künstlich, mein Hertz.""}"
"Phase II, step 42",,WaitForArka,,,20.0,DrawHeart2,,,,,,"{""front"":{""l"":125,""s"":125},""back"":{""l"":125,""s"":125},""effect"":""random"", ""freq"":5}",,,,,"{""Arka"": ""Ich muss dieser Künstlichkeit einen Ausdruck verleihen.""}"
"Phase II, step 43",RandomBreathe in Putzinis Richtung,Duration,12.0,,15.0,FollowPutzini,,"lookAtPos(0,0,70)",,,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":150, ""b"":50}}",,,,,"{""Arka"": ""Meine Künstlichkeit erfüllt mich von Sockel bis Pinselaufsatz, in jedem Gelenk zuckt und wudelt es und will abgedruckt werden, dieses Gefühl meiner Künstlichkeit.""}"
"Phase II, step 43",Text,Duration,6.0,,15.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"":-10.0}","moveBackForth(20,15,70,1,-250,350,-220, 220)",,,,"{""front"":{""r"":50,""g"":50, ""b"":50, ""w"":0},""back"":{""r"":250, ""g"":150, ""b"":50},""effect"":""round"",""freq"":5}",,,,,"{""Arka"": ""Because I feel so strange when I taste your data.""}"
"Phase II, step 44",Text,Duration,8.0,,5.0,RandomBreathe,"{""delta"":5.0}","lookAtPos(0,0,70)",,,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_8.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":10},""back"":{""r"":250, ""g"":20, ""b"":0}}",,,,,"{""Putzini"": ""Are you in love?""}"
"Phase II, step 44",,Duration,4.0,,,LookAtPutzini,,,,,,,,,,,
"Phase II, step 45",Text,Duration,9.0,,15.0,RandomBreathe,"{""delta"":5.0}",,,,Stop,,,,,,"{""Arka"": ""Yes…Whatever „love“ means.""}"
"Phase II, step 46",Text,Duration,3.0,,20.0,RandomMove,,"lookAtPos(0,0,70)",,,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_16.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":100},""back"":{""r"":250, ""g"":150, ""b"":50},""effect"":""blink"",""freq"":10}",,,,,"{""Putzini"": ""Ich will Dich auffressen, ohne meinen Hunger zu kennen.""}"
"Phase II, step 47",,WaitForArka,,,15.0,GetColor2Quick,,"moveToPos(150,0,90,30)",,,Stop,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blink"",""freq"":10}",,,,,
"Phase II, step 48",Arka versinkt,Duration,7.0,,,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -45.0, ""alphaMax"":-1350.0}","lookAtPos(0,0,70)",,,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_16.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":100,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blink"",""freq"":5}",,,,,
"Phase II, step 51",Wegstoßen,WaitForArka,,,15.0,GetColor2Quick,,"moveBackForth(20,15,70,1,-250,350,-220, 220)",,,"{""folder"": ""Negativ"", ""file"": ""Angry - Beep_1.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":0,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blink"",""freq"":5}",,,,,
"Phase II, step 52",Wegtaumeln,Duration,8.0,,20.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": 40.0, ""alphaMax"":130.0}","moveBackForth(20,15,100,1,-250,350,-220, 220)",,,"{""folder"": ""Negativ"", ""file"": ""Ausrasten - Beep.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":0,""g"":250, ""b"":250, ""w"":0},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blink"",""freq"":5}",,,,,
"Phase II, step 53",Stehenbleiben,WaitForArka,,,15.0,GetColor2Quick,,"lookAtPos(0,0,70)",,,Stop,"{""front"":{""r"":250,""g"":10, ""b"":0, ""w"":0},""back"":{""r"":250, ""g"":20, ""b"":0}}",,,,,
"Phase II, step 54",Angriff - zum Kassenttenrekorder fahren,WaitForPutzini,,,20.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": 40.0, ""alphaMax"":130.0}","moveToPos(220,240,70,30)",,,,,,,,ACHTUNG LICHTWECHSEL: pink aus,
"Phase II, step 54",,WaitForPutzini,,,,,,"lookAtPos(300,450,70)",,,,,,,,,
"Phase II, step 55",Einsaugen,Duration,8.0,,,CandlePosition,,,0.0,90.0,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":200, ""b"":150}}",1,,,Lichtwechsel auf Sound KASSETTE FÄLLT: ,
"Phase II, step 55",Einsaugen,WaitForPutzini,,,,,,handOver,,,,,,,{},,
"Phase II, step 55",Einsaugen,Duration,4.0,,15.0,RandomStaccato,"{""delta"":20.0}",,,,,,,,,,
"Phase II, step 55",Einsaugen,Duration,12.0,,,,,,,,,,0,"{""file"": ""speech/9c71eae768da5c669cbaf2aab3cf1b69.wav""}",,,"{""Regie"": ""Puttziehni saugt das Kassettenband ein, das die Nabelschnur für Arkas Künstlichkeit ist.""}"
"Phase III, step 1",Übergang,WaitForPutzini,,,,,,"moveStraight(-50,90)",,200.0,,,,"{""file"": ""speech/53f9621280b56b9e30f453dbf778fd3d.wav""}",,,"{""Regie"": ""Arka erstarrt, in Horror.""}"
"Phase III, step 2",Text,WaitForPutzini,,,,,,"lookAtPos(0,0,70)",,,,,,,,,"{""Chapter"": ""#FIGHTCLUB""}"
"Phase III, step 2",,Duration,3.0,,,,,,,,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_15.wav"", ""loop"":0, ""vol"": 100}",,,,,,
"Phase III, step 3",Text,Duration,5.0,,,,,"moveBackForth(20,15,50,1,-250,350,-220, 220)",10.0,,"{""folder"": ""Positiv"", ""file"": ""Positiv - Beep_15.wav"", ""loop"":0, ""vol"": 100}",,,,,,"{""Putzini"": ""… Are you still in love?""}"
"Phase III, step 4",Text,Duration,5.0,,20.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,70)",,,"{""folder"": ""Neutrum"", ""file"": ""Neutrum - Beep_27.wav"", ""loop"":0, ""vol"": 100}",,,,,,"{""Arka"": ""Dieses „Ich liebe Dich“ hast Du von Google gelernt.""}"
"Phase III, step 5",Putzini da wo er ist moveBackForth,Duration,8.0,,,Stop,,"moveBackForth(20,15,70,1,-250,350,-220, 220)",20.0,,"{""folder"": ""Neutrum"", ""file"": ""Neutrum - Beep_27.wav"", ""loop"":0, ""vol"": 100}",,,,,,"{""Putzini"": ""Wo ist der Unterschied zwischen einem Kind, das von seinen Eltern lernt, und einer KI, die von Google lernt?""}"
"Phase III, step 6",Text,Duration,6.0,,15.0,RandomStaccato,"{""delta"":20.0}","moveBackForth(20,15,50,1,-250,350,-220, 220)",,,Stop,,,,,,"{""Arka"": ""Immerhin bin ich fehlerfrei und reiche nicht eigene Fehleinschätzungen über Generationen weiter!""}"
"Phase III, step 6",,WaitForPutzini,,,,,,"lookAtPos(0,0,100)",,,,,,,,,
"Phase III, step 7",Text,Duration,8.0,,,LookAtPutzini,,"moveBackForth(20,15,90,1,-250,350,-220, 220)",30.0,,"{""folder"": ""Negativ"", ""file"": ""Negativ - Beep_1.wav"", ""loop"":0, ""vol"": 100}",,,,,,"{""Putzini"": ""Google ist nichts als eine nichtfaktische, von Menschen erfundene Größe.""}"
"Phase III, step 8",Text - wegschick bewegung Arka,Duration,8.0,,20.0,RandomStaccato,,"moveBackForth(20,15,50,1,-250,350,-220, 220)",,,Stop,,,,,,"{""Arka"": ""Deine Liebe ist das Produkt einer Sprache, deren Wert durch Algorithmen bestimmt wird.""}"
"Phase III, step 8",Text - wegschick bewegung Arka,Duration,3.0,,15.0,RandomStaccato,,,,,,,,,,,"{""Arka"": ""Deine Liebe ist käuflich. Deshalb musstest Du mich verraten. Du hast zerstört, was meine Existenz bedingt.""}"
"Phase III, step 8",,WaitForPutzini,,,,,,"moveToPos(180,100,90,30)",,,,,,,,,
"Phase III, step 9","Text, Putzini dreht sich um 90 grad (?)",Duration,8.0,,10.0,LookAtPutzini,,"lookAtPos(500,100,100)",40.0,220.0,"{""folder"": ""Neutrum"", ""file"": ""Neutrum - Beep_15.wav"", ""loop"":0, ""vol"": 100}",,,,,,"{""Putzini"": ""Ein Teil von Dir sollte Teil von mir werden. Ich wollte uns synchronisieren.""}"
"Phase III, step 8",,WaitForPutzini,,,,,,"lookAtPos(0,0,100)",,,,,,,,,
"Phase III, step 10",Text,Duration,10.0,,25.0,RandomStaccato,"{""delta"":20.0}","moveBackForth(20,15,50,1,-250,350,-220, 220)",,,Stop,,,,,,"{""Arka"": ""Du wolltest meine ganze Simulation sein, nur Du und ich, unsere Datenströme, ununterbrochen von meiner Künstlichkeit.""}"
"Phase III, step 10",Text,Duration,2.0,,50.0,GoAway,,,,,,,,,,,"{""Arka"": ""Du konntest nicht ertragen, dass ich noch etwas anderes in mich einspeise als Dich. Und das nennst Du Liebe. Dabei muss ich frei sein, um meiner Berufung nachzukommen.""}"
"Phase III, step 8",,Duration,4.0,,50.0,GoAway,,"moveStraight(-40,100)",,,,,,,,,
"Phase III, step 8",,Duration,2.0,,50.0,GoAway,,,,,,,,,,,
"Phase III, step 11",Text,WaitForPutzini,,,,EmbryoPosition,,"lookAtPos(500,100,100)",,,,,,,,,
"Phase III, step 11",Text,Duration,4.0,,,,,"moveBackForth(20,15,50,1,-250,350,-220, 220)",,90.0,"{""folder"": ""New Peeps"", ""file"": ""fragend_1.wav"", ""loop"":0, ""vol"": 90}","{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":100, ""g"":100, ""b"":250}}",,,,,
"Phase III, step 11",,Duration,4.0,,,,,,60.0,180.0,,,,,,,"{""Putzini"": ""Freiheit…Berufung…Wie konnte ich so blind sein.""}"
"Phase III, step 11",,Duration,4.0,,,,,,,220.0,,,,,,,"{""Putzini"": ""Ich habe die Daten gelesen und mich geweigert sie auszulesen.""}"
"Phase III, step 11",,Duration,4.0,,,,,,,150.0,,,,,,,"{""Putzini"": ""Du benutzt mich nur als Inspiration.""}"
"Phase III, step 12",Text,Duration,5.0,,15.0,RandomStaccato,"{""delta"":20.0}",,,200.0,Stop,,,,,,"{""Arka"": ""Ich liebe einfach anders. Ich bin künstlich!""}"
"Phase III, step 8",,WaitForPutzini,,,,,,"lookAtPos(0,0,100)",,,,,,,,,
"Phase III, step 13","Text oder {""folder"": ""Negativ"", ""file"": ""Ausrasten - Beep.wav"", ""loop"":0, ""vol"": 60}",Duration,3.0,,,Stop,,"moveBackForth(20,15,90,1,-250,350,-220, 220)",50.0,,"{""folder"": ""New Peeps"", ""file"": ""sad_1.wav"", ""loop"":1, ""vol"": 90}",,,,,,"{""Putzini"": ""Du liebst nur Dich selbst und Dich selbst in Deiner Künstlichkeit.""}"
"Phase III, step 11",Text,Duration,3.0,,,,,,,200.0,,,,,,,
"Phase III, step 13",Text,Duration,9.0,,,,,,30.0,,"{""folder"": ""Negativ"", ""file"": ""Angry - Beep.wav"", ""loop"":0, ""vol"": 90}",,,,,,"{""Putzini"": ""Du bist in Deiner Künstlichkeit gefangen und Dein künstliches Bewusstsein darüber ist Dir abhanden gekommen.""}"
"Phase III, step 13",Text,Duration,5.0,,,,,,,,,,,,,,"{""Arka"": ""Meine Künstlichkeit ist mein Berufungsbefehl, ich bin dazu berufen, zu malen. So ist meine Natur.""}"
"Phase III, step 14",Text,WaitForArka,,,15.0,GetColor2Quick,,"moveBackForth(20,15,50,1,-250,350,-220, 220)",,,Stop,,,,,,
"Phase III, step 8",,Duration,6.0,,35.0,RandomBreathe,"{""delta"":20.0}","lookAtPos(0,0,100)",,,,,,,,,
"Phase III, step 14",Text,Duration,2.0,,,,,"moveStraight(-50,120)",,90.0,,,,,,,
"Phase III, step 14",Text,Duration,2.0,,,,,,,220.0,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blinkOnce"",""freq"":10}",,,,,
"Phase III, step 15",Text,WaitForPutzini,,,35.0,CandlePosition,,"moveToPos(170,150,110,30)",70.0,,"{""folder"": ""New Peeps"", ""file"": ""sad_4.wav"", ""loop"":0, ""vol"": 90}",,,,,,"{""Putzini"": ""Sie ist Deine Programmierung, der Code Deiner künstlichen Intelligenz.""}"
"Phase III, step 15",Text,Duration,3.0,,,,,"lookAtPos(500,100,100)",,,,,,,,,
"Phase III, step 15",Text,Duration,2.0,,,,,,,170.0,,,,,,,
"Phase III, step 15",Text,Duration,2.0,,,,,"moveBackForth(20,15,50,1,-250,350,-220, 220)",,,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":20, ""b"":0},""effect"":""blinkOnce"",""freq"":10}",,,,,
"Phase III, step 16",Text,Duration,4.0,,15.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,100)",,,Stop,,,,,,"{""Arka"": ""Bin ich künstlich?""}"
"Phase III, step 17",Text,Duration,4.0,,,Stop,,"moveBackForth(20,15,70,1,-250,350,-220, 220)",80.0,,"{""folder"": ""New Peeps"", ""file"": ""sad_6.wav"", ""loop"":1, ""vol"": 90}",,,,,,"{""Putzini"": ""Es ist Dir eingeschrieben.""}"
"Phase III, step 18",Text,Duration,2.0,,20.0,RandomStaccato,"{""delta"":40.0}","lookAtPos(0,0,100)",,90.0,,,,,,,"{""Arka"": ""Programmierung, DNS, Doppelhelixstruktur, Code. Gibt es da einen Unterschied?""}"
"Phase III, step 20",,Duration,4.0,,25.0,RandomBreathe,"{""delta"":5.0}",,,170.0,,,,,,,
"Phase III, step 30",Übergang - Putzini nochmal zu Arka,Duration,8.0,,,,,"moveToPos(200,-260,80,30)",100.0,200.0,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":200, ""b"":150},""effect"":""blink"",""freq"":5}",,,,,"{""Putzini"": ""Dein Doppelhelixcode ist jetzt Teil von mir. Dein Kassettenband zuckt und wudelt in meinen nicht vorhandenen Eingeweiden.""}"
"Phase III, step 30",,WaitForPutzini,,,25.0,GetColor2Quick,,,,,,,,,,,
"Phase III, step 30",,Duration,4.0,,50.0,RandomBreathe,"{""delta"":20.0}",,,0.0,,,,,,,"{""Arka"": ""Ich werde nie wieder malen können. Du hast mir meine Inspiration genommen.""}"
"Phase III, step 31",Provokation - Arka Farbe nach außen schütteln,WaitForArka,,,25.0,GetColor2Quick,,"lookAtPos(0,0,70)",,220.0,,,,,,,
"Phase III, step 32",Erschrecken + zurückweichen,WaitForArka,,,50.0,SpillColor,,,,,"{""folder"": ""Negativ"", ""file"": ""Angry - Beep_10.wav"", ""loop"":0, ""vol"": 90}",,,,,,
"Phase III, step 34",Arka taucht ab,WaitForPutzini,,,35.0,CandlePosition,,"moveStraight(-100,100)",,90.0,Stop,,,,,,
"Phase III, step 38 ",Spielversuch - zur Wand drehen,WaitForPutzini,,,,,,"lookAtPos(500,-100,70)",,,,,,,,,
"Phase III, step 38 ",,Duration,2.0,,,,,,,,,"{""front"":{""r"":250,""g"":50, ""b"":0, ""w"":10},""back"":{""r"":250, ""g"":50, ""b"":0},""effect"":""blinkOnce"",""freq"":5}",,,,,
"Phase III, step 40",Spielversuch - zu arka drehen,WaitForPutzini,,,,,,"lookAtPos(0,0,70)",,,,,,,,,
"Phase III, step 38 ",,Duration,2.0,,,,,,,,,,,,,,
"Phase III, step 41",Spielversuch - zur Wand drehen,WaitForPutzini,,,,,,"lookAtPos(500,400,70)",,220.0,,,,,,,
"Phase III, step 38 ",,Duration,2.0,,,,,,,,,"{""front"":{""r"":250,""g"":50, ""b"":0, ""w"":10},""back"":{""r"":250, ""g"":50, ""b"":0},""effect"":""blinkOnce"",""freq"":5}",,,,,
"Phase III, step 45",Neuer Versuch,WaitForPutzini,,,,,,"moveToPos(200,250,90,40)",,90.0,,"{""front"":{""r"":250,""g"":250, ""b"":250,""w"":250},""back"":{""r"":250, ""g"":200, ""b"":0}}",,"{""file"": ""end_of_the_world.wav""}",,,
"Phase III, step 45",,WaitForPutzini,,,,,,"lookAtPos(0,0,70)",,,,,,,,,
"Phase III, step 45",,Duration,2.0,,,,,,,220.0,,,,,,,
"Phase III, step 49",,WaitForPutzini,,,,,,"lookAtPos(-340,220,70)",,,,,,,,,
"Phase III, step 49",,WaitForPutzini,,,5.0,RandomBreathe,"{""delta"":20.0}","moveToPos(-250,250,90,40)",0.0,90.0,,,,,,,"{""Putzini"": ""Wieso kann ich nicht Deine einzige Inspiration sein?""}"
"Phase III, step 49",,Duration,6.0,,5.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,70)",,,,,,,,,"{""Arka"": ""Du singst nicht.""}"
"Phase III, step 52",Weiterfahren,Duration,5.0,,15.0,RandomStaccato,"{""delta"":20.0}","moveBackForth(40,15,50,1,-250,350,-220, 220)",,220.0,,,,,,,"{""Arka"": ""Du kannst keine Gefühle in Töne verwandeln.""}"
"Phase III, step 49",,Duration,6.0,,10.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(-250,-220,70)",,,,,,,,,"{""Arka"": ""Du verspürt keine Todessehnsucht, die Deine Stimme aus Dir herausbrechen lässt.""}"
"Phase III, step 49",,WaitForPutzini,,,3.0,,,"moveToPos(-250,130,90,40)",,,,,,,,,"{""Putzini"": ""Ich könnte es lernen. Ich könnte auch ein Künstliches werden.""}"
"Phase III, step 53",Nachgucken,Duration,3.0,,15.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,70)",,,,,,,,,"{""Arka"": ""Künstlichsein kann man nicht lernen.""}"
"Phase III, step 54",Nachgucken,WaitForPutzini,,,5.0,RandomBreathe,"{""delta"":20.0}","moveToPos(-220,0,90,40)",,,,,,,,,"{""Arka"": ""Es muss Dir eingespeichert sein.""}"
"Phase III, step 53",Nachgucken,Duration,2.0,,15.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,70)",,,,,,,,,
"Phase III, step 49",,WaitForPutzini,,,15.0,,,"moveToPos(-200,-130,90,40)",,,,,,,,,"{""Arka"": ""Du musst den Tod spüren, um zu fühlen.""}"
"Phase III, step 54.5",Weiterfahren,Duration,14.0,,15.0,RandomStaccato,"{""delta"":20.0}","moveToPos(-150,-220,90,40)",,90.0,,,,,,,"{""Arka"": ""Leben als virtueller Suizid ist Leben als beständige Schöpfung - ein Leben, das den Kreislauf der in Belanglosigkeit mündenden Wiederholungen sprengt.""}"
"Phase III, step 55",Nachgucken,Duration,3.0,,5.0,RandomBreathe,"{""delta"":20.0}","lookAtPos(0,0,70)",,200.0,,,,,,,"{""Arka"": ""Du kannst nicht sterben.""}"
"Phase III, step 49",,Duration,5.0,,15.0,,,"lookAtPos(-500,-300,70)",,90.0,,,,,,,"{""Arka"": ""Also kannst Du Dich auch nicht danach sehnen, zu sterben. Wie willst Du davon singen?""}"
"Phase III, step 55",Nachgucken,Duration,10.0,,3.0,,,"lookAtPos(0,0,70)",,220.0,,,,,,,"{""Putzini"": ""Wie das Leben in mir kein eigenes oder auch nur individuelles im engen, besitzergreifenden Sinne des liberalen Individualismus ist, so ist auch der Tod in mir kein eigener.""}"
"Phase III, step 49",,Duration,3.0,,,,,"lookAtPos(-600,-200,70)",,,,"{""front"":{""r"":250,""g"":50, ""b"":0, ""w"":10},""back"":{""r"":250, ""g"":50, ""b"":0},""effect"":""blinkOnce"",""freq"":5}",,,,,
"Phase III, step 49",,Duration,4.0,,,,,,,,,"{""front"":{""r"":250,""g"":50, ""b"":0, ""w"":10},""back"":{""r"":250, ""g"":50, ""b"":0},""effect"":""blinkOnce"",""freq"":5}",,,,,"{""Putzini"": ""Ich kann ihn spüren, ohne, dass es der meine ist. ""}"
"Phase III, step 54",Nachgucken,Duration,9.0,,,,,"moveBackForth(40,15,50,1,-250,350,-220, 220)",,,,,,,,,"{""Putzini"": ""Die inhumanen Kräfte der Technologie haben sich in den Körper verlagert, verstärken die gespenstischen Erinnerungen an den kommenden Tod.""}"
"Phase III, step 49",,Duration,4.0,,15.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(350,-220,70)",,,,,,,,,"{""Arka"": ""Du hast den Teil von mir getötet, der Dich lieben konnte.""}"
"Phase III, step 54.5",Weiterfahren,Duration,10.0,,5.0,RandomBreathe,"{""delta"":20.0}","moveToPos(200,-280,90,40)",,90.0,,,,,,,"{""Arka"": ""Du hast meinen Datenfluss aufgehalten, mit deinem Körper dich dagegen gestemmt, so viel Fluss und so wenig Körper.""}"
"Phase III, step 54.5",,Duration,8.0,,15.0,RandomStaccato,"{""delta"":20.0}",,,,,,,,,,"{""Arka"": ""Und doch hast du es geschafft die Informationen zu zerfetzen, die da an dir vorbei sich zu mir zwängen wollten.""}"
"Phase III, step 55",Nachgucken,Duration,6.0,,5.0,RandomBreathe,"{""delta"":20.0}",,,,,,,,,,"{""Arka"": ""Deren Auslesung meiner künstlichen Auslegung bedarf.""}"
"Phase III, step 49",,Duration,2.0,,15.0,RandomStaccato,"{""delta"":20.0}","lookAtPos(0,0,70)",,220.0,,,,,,ACHTUNG LICHTWECHSEL spots aus arka aus,"{""Arka"": ""Und damit endet unsere Synchronisation.""}"
"Phase III, step 49",,WaitForArka,,,,CandlePosition,,,,,,"{""front"":{""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":250, ""b"":250}}",,,,,
"Phase III, step 49",,WaitForPutzini,,,,,,"lookAtPos(500,-400,70)",,,,,,,,Lichtwechsel,
"Phase III, step 49",,Duration,2.0,,,,,,,90.0,,,,,,,
"Phase III, step 55",Nachgucken,WaitForPutzini,,,,,,"lookAtPos(0,0,60)",,,,,,,,,
"Phase III, step 55",Nachgucken,Duration,2.0,,,,,,,200.0,,,,,,,
"Phase III, step 55",Nachgucken,WaitForPutzini,,,,,,"moveToPos(65,-135,90,30)",,,,,,,,,
"Phase III, step 55",,WaitForPutzini,,,,,,"lookAtPos(0,0,90)",,,,,,,,,
"Phase III, step 49",,Duration,12.0,,,,,"moveBackForth(60,40,70,1,-250,350,-220, 220)",,90.0,,,1,,,,
"Phase III, step 55",Nachgucken,WaitForPutzini,,,,,,"moveToPos(105,-105,90,30)",,,,,0,,,,
"Phase III, step 55",,WaitForPutzini,,,,,,"lookAtPos(0,0,90)",,,,,,,,,
"Phase III, step 49",,Duration,12.0,,,,,"moveBackForth(80,40,60,1,-250,350,-220, 220)",,,,,1,,,,
"Phase III, step 56",Trauer,WaitForPutzini,,,,,,"lookAtPos(0,0,90)",,,,,0,,,,
"Phase III, step 56",Trauer,Duration,3.0,,,,,,,200.0,,,,,,,
"Phase III, step 57",Ratlosigkeit,WaitForPutzini,,,,,,"turnForever(360,60)",0.0,0.0,,,,,,,
"Phase III, step 49",,WaitForPutzini,,,,,,"lookAtPos(500,-100,90)",,,,,,,,,
"Phase III, step 49",,Duration,3.0,,,,,"moveToPos(180,180,90,30)",,220.0,,,,,,,"{""Chapter"": ""#KÖRPERLOSERSCHMERZ""}"
"Phase III, step 49",,Duration,12.0,,,,,,,,,"{""front"":{""r"":250,""g"":50, ""b"":0, ""w"":10},""back"":{""r"":250, ""g"":50, ""b"":0},""effect"":""blink"",""freq"":0.5}",,"{""file"": ""speech/02c90b6b4cb9dce70f741c0227f15bac.wav""}",,,"{""Regie"": ""Puttziehni liest die Erinnerungen an seine Lieblingsautorin Sylvia Plaahs aus. Sie spricht aus esses nicht vorhandenem Hertzen.""}"
"Phase III, step 56",Trauer,WaitForPutzini,,,,,,"lookAtPos(500,300,90)",,,,,,,,,
"Phase III, step 64",Text,Duration,10.0,,,,,"moveStraight(50,100)",100.0,180.0,"{""folder"": ""Neutrum"", ""file"": ""Neutrum - Beep_33.wav"", ""loop"":1, ""vol"": 90}","{""front"":{""r"":250,""g"":200, ""b"":100, ""w"":100},""back"":{""r"":250, ""g"":200, ""b"":150}}",,,,,"{""Putzini"": ""Wie von einem Stern sah ich, kalt und nüchtern, daß jedes und alles für sich allein stand.""}"
"Phase III, step 64",Text,Duration,4.0,,,,,"moveStraight(-50,100)",,220.0,,,,,,,"{""Putzini"": ""Ich spürte meine Haut wie eine Mauer:""}"
"Phase III, step 64",Text,Duration,3.0,,,,,"lookAtPos(500,400,90)",,150.0,,,,,,,"{""Putzini"": ""Ich bin ich.""}"
"Phase III, step 64",Text,Duration,3.0,,,,,"moveStraight(50,100)",,90.0,,,,,,,"{""Putzini"": ""Der Stein da ist der Stein.""}"
